Scuola;Tipo corso;Corso di laurea - Sede;Classe di laurea;Donne N.;Donne voto medio;Donne durata media;Uomini N.;Uomini voto medio;Uomini durata media;Totale N.;Totale voto medio;Totale durata media
;;TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA) - ROVIGO;L/SNT3;8;105,9;3,4;4;105,0;3,1;12;105,6;3,3
;;TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA) - TREVISO;L/SNT3;9;106,3;3,2;7;101,4;4,0;16;104,2;3,5
;;TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA) - VICENZA;L/SNT3;10;105,9;3,1;3;101,0;3,1;13;104,8;3,1
;;TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA  DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA) - PADOVA;L/SNT2;11;108,5;3,7;;;;11;108,5;3,7
;;TERAPIA OCCUPAZIONALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA OCCUPAZIONALE) - CONEGLIANO (TV);L/SNT2;14;105,4;3,3;4;97,5;3,5;18;103,7;3,4
;Corso di Laurea Magistrale;MEDICAL BIOTECHNOLOGIES - PADOVA;LM-9;21;106,0;2,4;15;104,3;2,5;36;105,3;2,4
;;PHARMACEUTICAL BIOTECHNOLOGIES - BIOTECNOLOGIE FARMACEUTICHE - PADOVA;LM-9;19;105,9;2,6;14;106,6;2,5;33;106,2;2,5
;;SCIENZE DELLE PROFESSIONI SANITARIE DELLA PREVENZIONE - PADOVA;LM/SNT4;11;109,6;2,5;7;110,0;2,3;18;109,8;2,4
;;SCIENZE DELLE PROFESSIONI SANITARIE TECNICHE DIAGNOSTICHE - PADOVA;LM/SNT3;17;109,9;1,9;7;110,0;1,9;24;109,9;1,9
;;SCIENZE E TECNICHE DELL'ATTIVITÀ MOTORIA PREVENTIVA E ADATTATA - PADOVA;LM-67;36;106,2;2,5;34;102,9;2,6;70;104,6;2,5
;;SCIENZE INFERMIERISTICHE E OSTETRICHE - PADOVA;LM/SNT1;9;102,2;2,6;9;107,3;2,6;18;104,8;2,6
;;SCIENZE RIABILITATIVE DELLE PROFESSIONI SANITARIE - PADOVA;LM/SNT2;24;109,8;2,2;4;108,5;2,3;28;109,6;2,2
;Laurea Magistrale Ciclo Unico 5 anni;CHIMICA E TECNOLOGIA FARMACEUTICHE - PADOVA;LM-13;27;108,7;5,7;24;105,5;5,7;51;107,2;5,7
;;FARMACIA - PADOVA;LM-13;52;98,7;6,2;21;98,2;6,7;73;98,5;6,4
;Laurea Magistrale Ciclo Unico 6 anni;MEDICINA E CHIRURGIA - PADOVA;LM-41;187;108,9;6,5;160;108,1;6,7;347;108,5;6,6
;;ODONTOIATRIA E PROTESI DENTARIA - PADOVA;LM-46;14;107,5;6,2;13;108,0;6,1;27;107,7;6,1
;Laurea Ciclo Unico 6 anni;MEDICINA E CHIRURGIA - PADOVA;46/S;2;91,5;22,2;;;;2;91,5;22,2
;;MEDICINA E CHIRURGIA 1 - PADOVA;46/S;1;92,0;15,4;;;;1;92,0;15,4
;Corso di Laurea;MEDICINA E CHIRURGIA - PADOVA;;1;95,0;35,6;;;;1;95,0;35,6
Medicina e Chirurgia Totale;;;;1257;103,9;4,0;584;104,0;4,5;1.841;103,9;4,2
Psicologia;Corso di Laurea (DM 270);PSYCHOLOGICAL SCIENCE - SCIENZE PSICOLOGICHE - PADOVA;L-24;66;102,4;3,2;18;97,6;3,3;84;101,4;3,2
;;SCIENZE E TECNICHE PSICOLOGICHE - PADOVA;L-24;57;105,1;3,4;29;101,6;4,0;86;103,9;3,6
;;SCIENZE PSICOLOGICHE COGNITIVE E PSICOBIOLOGICHE - PADOVA;L-24;117;104,1;3,2;41;102,3;3,7;158;103,6;3,3
;;SCIENZE PSICOLOGICHE DELLA PERSONALITÀ E DELLE RELAZIONI INTERPERSONALI - PADOVA;L-24;1;110,0;11,1;2;89,0;8,2;3;96,0;9,2
;;SCIENZE PSICOLOGICHE DELLO SVILUPPO E DELL'EDUCAZIONE - PADOVA;L-24;2;85,5;10,2;;;;2;85,5;10,2
;;SCIENZE PSICOLOGICHE DELLO SVILUPPO, DELLA PERSONALITÀ E DELLE RELAZIONI INTERPERSONALI - PADOVA;L-24;190;105,2;3,2;54;101,5;3,6;244;104,4;3,3
;;SCIENZE PSICOLOGICHE SOCIALI E DEL LAVORO - PADOVA;L-24;115;104,5;3,4;35;103,4;3,6;150;104,2;3,4
;Corso di Laurea (DM 509);SCIENZE PSICOLOGICHE DELLA PERSONALITA' E DELLE RELAZIONI INTERPERSONALI - PADOVA;34;;;;1;103,0;18,0;1;103,0;18,0
;;SCIENZE PSICOLOGICHE DELLO SVILUPPO E DELL'EDUCAZIONE - PADOVA;34;1;99,0;21,7;;;;1;99,0;21,7
;;SCIENZE PSICOLOGICHE SOCIALI E DEL LAVORO - PADOVA;34;1;102,0;19,2;;;;1;102,0;19,2
;Corso di Laurea Magistrale;CLINICAL, SOCIAL AND INTERCULTURAL PSYCHOLOGY - PADOVA;LM-51;16;108,6;2,1;1;110,0;2,1;17;108,7;2,1
;;COGNITIVE NEUROSCIENCE AND CLINICAL NEUROPSYCHOLOGY - PADOVA;LM-51;32;104,5;2,4;10;108,0;2,1;42;105,3;2,3
;;NEUROSCIENZE E RIABILITAZIONE NEUROPSICOLOGICA - PADOVA;LM-51;91;109,0;2,3;17;107,1;2,3;108;108,7;2,3
;;PSICOLOGIA CLINICA - PADOVA;LM-51;107;108,6;2,4;16;107,5;2,5;123;108,5;2,4
;;PSICOLOGIA CLINICA DELLO SVILUPPO - PADOVA;LM-51;132;108,3;2,2;8;108,6;2,1;140;108,3;2,2
;;PSICOLOGIA CLINICO-DINAMICA - PADOVA;LM-51;141;107,5;2,6;30;108,2;2,5;171;107,7;2,6
;;PSICOLOGIA COGNITIVA APPLICATA - PADOVA;LM-51;60;105,7;2,3;34;105,1;2,5;94;105,5;2,4
